"Tyre wear FL", "Tyre wear FR", "Tyre wear RL", "Tyre wear RR", "Ambient temp", "Track temp", "Current time", "Lap number"
3.4944474697113, 2.5376200675964, 1.8097341060638, 1.6881048679352, 4.8460392951965, 12.040157318115, 0.052001953125, 4
3.4944474697113, 2.5376200675964, 1.8097460269928, 1.6881167888641, 4.8460392951965, 12.040157318115, 0.10205078125, 4
3.4944474697113, 2.5376200675964, 1.8097519874573, 1.6881287097931, 4.8460388183594, 12.040156364441, 0.1519775390625, 4
3.4944474697113, 2.5376200675964, 1.8097579479218, 1.6881346702576, 4.8460388183594, 12.040155410767, 0.2020263671875, 4
3.4944474697113, 2.5376200675964, 1.8097639083862, 1.688140630722, 4.8460383415222, 12.040154457092, 0.251953125, 4
3.4944474697113, 2.5376200675964, 1.8097698688507, 1.688152551651, 4.8460383415222, 12.040153503418, 0.302001953125, 4
3.4944474697113, 2.5376200675964, 1.8097817897797, 1.6881585121155, 4.8460378646851, 12.040152549744, 0.35205078125, 4
3.4944474697113, 2.5376200675964, 1.8097877502441, 1.68816447258, 4.8460378646851, 12.040151596069, 0.4019775390625, 4
3.4944474697113, 2.5376200675964, 1.8097937107086, 1.6881763935089, 4.8460378646851, 12.040150642395, 0.4520263671875, 4
3.4944474697113, 2.5376200675964, 1.8097996711731, 1.6881823539734, 4.8460373878479, 12.040150642395, 0.501953125, 4
3.4944474697113, 2.5376200675964, 1.8098056316376, 1.6881883144379, 4.8460373878479, 12.040149688721, 0.552001953125, 4
3.4944474697113, 2.5376200675964, 1.8098115921021, 1.6881942749023, 4.8460369110107, 12.040148735046, 0.60205078125, 4
3.4944474697113, 2.5376200675964, 1.8098175525665, 1.6882002353668, 4.8460369110107, 12.040147781372, 0.6519775390625, 4
3.4944474697113, 2.5376200675964, 1.809823513031, 1.6882061958313, 4.8460364341736, 12.040146827698, 0.7020263671875, 4
3.4944474697113, 2.5376200675964, 1.8098294734955, 1.6882121562958, 4.8460364341736, 12.040145874023, 0.751953125, 4
3.4944474697113, 2.5376200675964, 1.8098413944244, 1.6882181167603, 4.8460359573364, 12.040144920349, 0.802001953125, 4
3.4944474697113, 2.5376200675964, 1.8098473548889, 1.6882240772247, 4.8460359573364, 12.040144920349, 0.85205078125, 4
3.4944474697113, 2.5376200675964, 1.8098592758179, 1.6882359981537, 4.8460359573364, 12.040143966675, 0.9019775390625, 4
3.4944474697113, 2.5376200675964, 1.8098652362823, 1.6882419586182, 4.8460354804993, 12.040143013, 0.9520263671875, 4
3.4944474697113, 2.5376200675964, 1.8098771572113, 1.6882419586182, 4.8460354804993, 12.040142059326, 1.001953125, 4
3.4944474697113, 2.5376200675964, 1.8098831176758, 1.6882479190826, 4.8460350036621, 12.040141105652, 1.052001953125, 4
3.4944474697113, 2.5376200675964, 1.8098890781403, 1.6882538795471, 4.8460350036621, 12.040140151978, 1.1009521484375, 4
3.4944474697113, 2.5376200675964, 1.8098950386047, 1.6882598400116, 4.846034526825, 12.040139198303, 1.1500244140625, 4
3.4944474697113, 2.5376200675964, 1.8099009990692, 1.6882658004761, 4.846034526825, 12.040138244629, 1.199951171875, 4
3.4944474697113, 2.5376200675964, 1.8099069595337, 1.6882717609406, 4.8460340499878, 12.040138244629, 1.25, 4
3.4944474697113, 2.5376200675964, 1.8099129199982, 1.688277721405, 4.8460340499878, 12.040137290955, 1.300048828125, 4
3.4944474697113, 2.5376200675964, 1.8099188804626, 1.6882836818695, 4.8460335731506, 12.04013633728, 1.3499755859375, 4
3.4944474697113, 2.5376200675964, 1.8099248409271, 1.6882836818695, 4.8460335731506, 12.040135383606, 1.4000244140625, 4
3.4944474697113, 2.5376200675964, 1.8099248409271, 1.688289642334, 4.8460335731506, 12.040134429932, 1.449951171875, 4
3.4944474697113, 2.5376200675964, 1.8099248409271, 1.688289642334, 4.8460330963135, 12.040133476257, 1.5, 4
3.4944474697113, 2.5376200675964, 1.8099308013916, 1.688289642334, 4.8460330963135, 12.040132522583, 1.550048828125, 4
3.4944474697113, 2.5376200675964, 1.8099308013916, 1.688289642334, 4.8460326194763, 12.040131568909, 1.5999755859375, 4
3.4944474697113, 2.5376200675964, 1.8099308013916, 1.688289642334, 4.8460326194763, 12.040130615234, 1.6500244140625, 4
3.4944474697113, 2.5376200675964, 1.8099308013916, 1.688289642334, 4.8460321426392, 12.040130615234, 1.699951171875, 4
3.4944474697113, 2.5376200675964, 1.8099308013916, 1.688289642334, 4.8460321426392, 12.04012966156, 1.75, 4
3.4944534301758, 2.5376200675964, 1.8099308013916, 1.688289642334, 4.846031665802, 12.040128707886, 1.800048828125, 4
3.4944713115692, 2.5376439094543, 1.8099308013916, 1.6882956027985, 4.846031665802, 12.040127754211, 1.8499755859375, 4
3.4945428371429, 2.5377154350281, 1.8099367618561, 1.6883015632629, 4.8460311889648, 12.040126800537, 1.9000244140625, 4
3.4946382045746, 2.5378167629242, 1.8099427223206, 1.6883134841919, 4.8460311889648, 12.040125846863, 1.949951171875, 4
3.4947574138641, 2.5379300117493, 1.809948682785, 1.6883194446564, 4.8460311889648, 12.040124893188, 2, 4
3.4948825836182, 2.5380492210388, 1.809960603714, 1.6883313655853, 4.8460307121277, 12.040124893188, 2.050048828125, 4
3.4950017929077, 2.5381624698639, 1.8099665641785, 1.6883373260498, 4.8460307121277, 12.040123939514, 2.0999755859375, 4
3.4951269626617, 2.5382578372955, 1.8099784851074, 1.6883492469788, 4.8460302352905, 12.04012298584, 2.1500244140625, 4
